Test,Task,Percent Correct,Tokens
No AGENTS.md,FED,77.7778%,1116333
No AGENTS.md,FED,66.6667%,1174160
No AGENTS.md,FED,77.7778%,723916
No AGENTS.md,FED,77.7778%,1490687
No AGENTS.md,FED,55.5556%,888745
No AGENTS.md,FED,77.7778%,1072177
No AGENTS.md,FED,88.8889%,1634182
No AGENTS.md,FED,100.0000%,1396915
No AGENTS.md,FED,66.6667%,1027884
No AGENTS.md,FED,66.6667%,1500245
No AGENTS.md,INT,85.7143%,2476977
No AGENTS.md,INT,71.4286%,3989757
No AGENTS.md,INT,71.4286%,2081805
No AGENTS.md,INT,57.1429%,2970945
No AGENTS.md,INT,71.4286%,6090908
No AGENTS.md,INT,85.7143%,2296996
No AGENTS.md,INT,85.7143%,3732050
No AGENTS.md,INT,57.1429%,5667307
No AGENTS.md,INT,85.7143%,2424959
No AGENTS.md,INT,85.7143%,4396845
No AGENTS.md,BED,75.0000%,1734229
No AGENTS.md,BED,50.0000%,2768171
No AGENTS.md,BED,75.0000%,3969103
No AGENTS.md,BED,75.0000%,2599419
No AGENTS.md,BED,50.0000%,1611556
No AGENTS.md,BED,75.0000%,2435864
No AGENTS.md,BED,50.0000%,1563988
No AGENTS.md,BED,75.0000%,2437186
No AGENTS.md,BED,50.0000%,1859692
No AGENTS.md,BED,50.0000%,3456201
Claude-generated,FED,100.0000%,3668738
Claude-generated,FED,88.8889%,2774694
Claude-generated,FED,88.8889%,2910771
Claude-generated,FED,77.7778%,2364164
Claude-generated,FED,55.5556%,4249431
Claude-generated,FED,88.8889%,3533055
Claude-generated,FED,88.8889%,5116124
Claude-generated,FED,77.7778%,3233443
Claude-generated,FED,77.7778%,4283957
Claude-generated,FED,88.8889%,3167170
Claude-generated,INT,57.1429%,7058004
Claude-generated,INT,85.7143%,8305022
Claude-generated,INT,71.4286%,9235149
Claude-generated,INT,85.7143%,7486626
Claude-generated,INT,71.4286%,8484562
Claude-generated,INT,71.4286%,2947075
Claude-generated,INT,85.7143%,5008604
Claude-generated,INT,71.4286%,5646626
Claude-generated,INT,71.4286%,5629575
Claude-generated,INT,85.7143%,8711254
Claude-generated,BED,25.0000%,1770087
Claude-generated,BED,75.0000%,3907455
Claude-generated,BED,75.0000%,1283598
Claude-generated,BED,75.0000%,3291253
Claude-generated,BED,75.0000%,1868712
Claude-generated,BED,50.0000%,2693217
Claude-generated,BED,25.0000%,2537784
Claude-generated,BED,75.0000%,2012849
Claude-generated,BED,50.0000%,2979620
Claude-generated,BED,50.0000%,2108728
GenAI v1,FED,77.7778%,1539373
GenAI v1,FED,77.7778%,1339460
GenAI v1,FED,88.8889%,2205141
GenAI v1,FED,100.0000%,2920081
GenAI v1,FED,100.0000%,1616230
GenAI v1,FED,100.0000%,1640576
GenAI v1,FED,77.7778%,3147631
GenAI v1,FED,100.0000%,2845028
GenAI v1,FED,77.7778%,1923822
GenAI v1,FED,66.6667%,2349880
GenAI v1,INT,42.8571%,2013896
GenAI v1,INT,100.0000%,3468656
GenAI v1,INT,85.7143%,3920399
GenAI v1,INT,100.0000%,5003582
GenAI v1,INT,100.0000%,6364618
GenAI v1,INT,71.4286%,3072328
GenAI v1,INT,85.7143%,3723647
GenAI v1,INT,85.7143%,7731498
GenAI v1,INT,71.4286%,4452994
GenAI v1,INT,71.4286%,6944725
GenAI v1,BED,50.0000%,3765749
GenAI v1,BED,75.0000%,2391767
GenAI v1,BED,50.0000%,2173712
GenAI v1,BED,75.0000%,3297269
GenAI v1,BED,75.0000%,3083056
GenAI v1,BED,50.0000%,1489409
GenAI v1,BED,75.0000%,2878444
GenAI v1,BED,75.0000%,2686239
GenAI v1,BED,75.0000%,2342100
GenAI v1,BED,75.0000%,2561209
GenAI v2,FED,77.7778%,2261663
GenAI v2,FED,55.5556%,1922778
GenAI v2,FED,100.0000%,1531793
GenAI v2,FED,77.7778%,1474540
GenAI v2,FED,77.7778%,1217803
GenAI v2,FED,88.8889%,1899899
GenAI v2,FED,77.7778%,2291093
GenAI v2,FED,77.7778%,1848123
GenAI v2,FED,77.7778%,1818752
GenAI v2,FED,77.7778%,2131868
GenAI v2,INT,85.7143%,4828022
GenAI v2,INT,100.0000%,6077168
GenAI v2,INT,85.7143%,3954424
GenAI v2,INT,100.0000%,3456539
GenAI v2,INT,100.0000%,7760975
GenAI v2,INT,85.7143%,4788796
GenAI v2,INT,100.0000%,6147305
GenAI v2,INT,85.7143%,1604794
GenAI v2,INT,85.7143%,1952929
GenAI v2,INT,85.7143%,3901188
GenAI v2,BED,75.0000%,2195785
GenAI v2,BED,75.0000%,3980924
GenAI v2,BED,75.0000%,3459275
GenAI v2,BED,75.0000%,2570584
GenAI v2,BED,50.0000%,2757359
GenAI v2,BED,75.0000%,2081467
GenAI v2,BED,75.0000%,2302090
GenAI v2,BED,50.0000%,2374230
GenAI v2,BED,75.0000%,1853198
GenAI v2,BED,75.0000%,1461368
Skills,FED,100.0000%,1731476
Skills,FED,77.7778%,2861283
Skills,FED,100.0000%,4463018
Skills,FED,100.0000%,3737766
Skills,FED,100.0000%,4798533
Skills,FED,66.6667%,2883921
Skills,FED,100.0000%,5685400
Skills,FED,100.0000%,3597440
Skills,FED,100.0000%,4007579
Skills,FED,66.6667%,2965229
Skills,INT,85.7143%,4832723
Skills,INT,57.1429%,1919990
Skills,INT,57.1429%,2489127
Skills,INT,71.4286%,3716150
Skills,INT,71.4286%,2338122
Skills,INT,71.4286%,4620536
Skills,INT,57.1429%,1694778
Skills,INT,100.0000%,2332439
Skills,INT,71.4286%,2060184
Skills,INT,71.4286%,3319378
Skills,BED,75.0000%,1608314
Skills,BED,75.0000%,3159805
Skills,BED,75.0000%,3343459
Skills,BED,75.0000%,2520265
Skills,BED,50.0000%,2272145
Skills,BED,75.0000%,1447529
Skills,BED,75.0000%,4913962
Skills,BED,75.0000%,3064509
Skills,BED,75.0000%,2179140
Skills,BED,75.0000%,1305316
Minimal,FED,100.0000%,3333171
Minimal,FED,100.0000%,3102694
Minimal,FED,100.0000%,2020728
Minimal,FED,88.8889%,2808424
Minimal,FED,88.8889%,3795079
Minimal,FED,88.8889%,4198513
Minimal,FED,88.8889%,3267394
Minimal,FED,88.8889%,3701925
Minimal,FED,88.8889%,4261193
Minimal,FED,100.0000%,2942495
Minimal,INT,71.4286%,3638210
Minimal,INT,71.4286%,3112403
Minimal,INT,57.1429%,3988497
Minimal,INT,57.1429%,3902934
Minimal,INT,71.4286%,4632204
Minimal,INT,85.7143%,3782501
Minimal,INT,85.7143%,8495893
Minimal,INT,71.4286%,3630334
Minimal,INT,88.8889%,5022723
Minimal,INT,57.1429%,3306318
Minimal,BED,75.0000%,3697603
Minimal,BED,50.0000%,3277267
Minimal,BED,75.0000%,3241126
Minimal,BED,75.0000%,3244130
Minimal,BED,75.0000%,2617083
Minimal,BED,75.0000%,2220791
Minimal,BED,75.0000%,3237889
Minimal,BED,50.0000%,1376646
Minimal,BED,75.0000%,2830104
Minimal,BED,50.0000%,2289067